Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
33320,HNB BT LOCAL,HASANABAD,BARASAT JN.,Sunday,1,Weekend
33321,BT - HNB LOC,BARASAT JN.,HASANABAD,Monday,1,Weekday
33323,BT-HNB LOCAL,BARASAT JN.,HASANABAD,Friday,1,Weekday
33325,BT HNB LOCAL,BARASAT JN.,HASANABAD,Friday,1,Weekday
33351,BT - HB LOCA,BARASAT JN.,HABRA,Friday,1,Weekday
33357,BT-DTK LOCAL,BARASAT JN.,DATTAPUKUR,Sunday,1,Weekend
33361,BT-BNJ LOCAL,BARASAT JN.,BANGAON JN.,Thursday,1,Weekday
33362,BNJ- BT LOCA,BANGAON JN.,BARASAT JN.,Tuesday,1,Weekday
33363,BT -BNJ LOCA,BARASAT JN.,BANGAON JN.,Saturday,1,Weekend
33364,BNJ- BT LOCA,BANGAON JN.,BARASAT JN.,Sunday,1,Weekend
33365,BT-BNJ LOCAL,BARASAT JN.,BANGAON JN.,Monday,1,Weekday
33366,BNJ-BT LOCAL,BANGAON JN.,BARASAT JN.,Friday,1,Weekday
33367,BT-BNJ LOCAL,BARASAT JN.,BANGAON JN.,Thursday,1,Weekday
33382,GBG-BT LOCAL,GOBARDANGA,BARASAT JN.,Sunday,1,Weekend
33401,SDAH-BT MATR,SEALDAH,BARASAT JN.,Thursday,1,Weekday
33402,BT-SDAH MATR,BARASAT JN.,SEALDAH,Monday,1,Weekday
33411,SDAH-DDC LOC,SEALDAH,DUMDUM CANTONMENT,Tuesday,1,Weekday
33412,DDC-SDAH LOC,DUMDUM CANTONMENT,SEALDAH,Saturday,1,Weekend
33421,SDAH-MMG LOC,SEALDAH,MADHYAM GRAM,Saturday,1,Weekend
33422,MMG - SDAH L,MADHYAM GRAM,SEALDAH,Sunday,1,Weekend
33431,SDAH - BT LO,SEALDAH,BARASAT JN.,Sunday,1,Weekend
33432,BT-SDAH LOCA,BARASAT JN.,SEALDAH,Monday,1,Weekday
33433,SDAH - BT LO,SEALDAH,BARASAT JN.,Thursday,1,Weekday
33434,BT - SDAH LO,BARASAT JN.,SEALDAH,Saturday,1,Weekend
33435,SDAH - BT LO,SEALDAH,BARASAT JN.,Sunday,1,Weekend
33436,BT -SDAH LOC,BARASAT JN.,SEALDAH,Thursday,1,Weekday
33437,SDAH - BT LO,SEALDAH,BARASAT JN.,Wednesday,1,Weekday
33438,BT -SDAH LOC,BARASAT JN.,SEALDAH,Tuesday,1,Weekday
33439,SDAH - BT LO,SEALDAH,BARASAT JN.,Wednesday,1,Weekday
33440,BT -SDAH LOC,BARASAT JN.,SEALDAH,Monday,1,Weekday
33441,SDAH-BT LOCA,SEALDAH,BARASAT JN.,Sunday,1,Weekend
33443,SDAH - BT LO,SEALDAH,BARASAT JN.,Wednesday,1,Weekday
33445,SDAH - BT LO,SEALDAH,BARASAT JN.,Sunday,1,Weekend
33447,SDAH - BT LO,SEALDAH,BARASAT JN.,Sunday,1,Weekend
33511,SDAH-HNB LOC,SEALDAH,HASANABAD,Thursday,1,Weekday
33512,HNB-SDAH LOC,HASANABAD,SEALDAH,Tuesday,1,Weekday
33513,SDAH - HNB L,SEALDAH,HASANABAD,Wednesday,1,Weekday
33514,HNB-SDAH LOC,HASANABAD,SEALDAH,Tuesday,1,Weekday
33515,SDAH - HNB L,SEALDAH,HASANABAD,Thursday,1,Weekday
33516,HNB-SDAH LOC,HASANABAD,SEALDAH,Sunday,1,Weekend
33517,SDAH - HNB L,SEALDAH,HASANABAD,Friday,1,Weekday
33518,HNB-SDAH LOC,HASANABAD,SEALDAH,Friday,1,Weekday
33519,SDAH - HNB L,SEALDAH,HASANABAD,Wednesday,1,Weekday
33520,HNB-SDAH LOC,HASANABAD,SEALDAH,Thursday,1,Weekday
33521,SDAH - HNB L,SEALDAH,HASANABAD,Saturday,1,Weekend
33522,HNB-SDAH LOC,HASANABAD,SEALDAH,Sunday,1,Weekend
33523,SDAH - HNB L,SEALDAH,HASANABAD,Thursday,1,Weekday
33524,HNB-SDAH LOC,HASANABAD,SEALDAH,Sunday,1,Weekend
33525,SDAH - HNB L,SEALDAH,HASANABAD,Friday,1,Weekday
33526,HNB-SDAH LOC,HASANABAD,SEALDAH,Thursday,1,Weekday
33527,SDAH-HNB  LO,SEALDAH,HASANABAD,Tuesday,1,Weekday
33528,HNB-SDAH LOC,HASANABAD,SEALDAH,Sunday,1,Weekend
33529,SDAH-HNB LOC,SEALDAH,HASANABAD,Thursday,1,Weekday
33530,HNB-SDAH LOC,HASANABAD,SEALDAH,Tuesday,1,Weekday
33531,SDAH-HNB LOC,SEALDAH,HASANABAD,Monday,1,Weekday
33532,HNB-SDAH LOC,HASANABAD,SEALDAH,Thursday,1,Weekday
33533,SDAH-HB LOCA,SEALDAH,HASANABAD,Friday,1,Weekday
33534,HB-SDAH LOCA,HASANABAD,SEALDAH,Sunday,1,Weekend
33536,HNB-SDAH LOC,HASANABAD,SEALDAH,Saturday,1,Weekend
33538,HNB-SDAH LOC,HASANABAD,SEALDAH,Friday,1,Weekday
